Category,Question,Answer
HISTORY,"Estimates of when these people abandoned the city of Uxmal range from 600 to 1,000 years ago",Mayans
HISTORY,Peter the Cruel & Joan the Mad ruled this Spanish kingdom sometimes paired with Leon & Aragon,Castille
HISTORY,In 1935 the Saar territory was reunited with this country,Germany
HISTORY,Juan Vincente Gomez was dictator of this South American country in 1918 when it first exploited its oil,Venezuela
SCIENCE,"The cuttlefish hides 2 ways: it can camouflage itself like a chameleon, or hide behind a cloud of this",Ink
SCIENCE,Having 4 large pairs of these makes the fruit fly a favorite subject for geneticists,Chromosomes
SCIENCE,"A silvery food fish, or to heat ore in order to extract metal",Smelt
SCIENCE,"In rhyme, the bells of St. Clement's speak of these 2 fruits that'll help prevent scurvy",Oranges & lemons
SCIENCE,"Unlike most of its pine family relatives, the larch is classified as this, as it loses its needles each fall",Deciduous
LITERACY,"Amity is a city, not an island, in this Peter Benchley thriller; it is on Long Island, however",Jaws
LITERACY,Dementors guard this island prison in a series of novels,Azkaban
LITERACY,Isla Nublar off the coast of Costa Rica is the setting for this 1990 Michael Crichton book,Jurassic Park
LITERACY,Alistair MacLean wrote of this German-controlled Greek island & the men sent to destroy a gun battery there,Navarone
LITERACY,"The novelization of a play says this ""land"" is ""always more or less an island""",Neverland
HISTORY,From 1804 to 1806 this pair explored the area between the Mississippi River & the mouth of the Columbia River,Lewis & Clark
HISTORY,"On March 10, 1977, this Cesar Chavez labor group signed an agreement with the Teamsters union",United Farm Workers
HISTORY,In 1920 this president signed legislation returning the railroads to private ownership,Woodrow Wilson
HISTORY,"The Kansas-Nebraska Act of 1854 repealed this ""compromise"" of 1820",The Missouri Compromise
HISTORY,The government leasing oil reserves to Mammoth Oil in 1922 caused this scandal the next year,Teapot Dome
LITERACY,"In one of his fables, a bee of Mt. Hymettus asks Jupiter for its sting to be fatal",Aesop
LITERACY,"The action of this novel concerns a quest to defeat the dragon Smaug in his lair in Erebor, the lonely mountain",The Hobbit
LITERACY,"In German, this title peak of a Thomas Mann work is known as ""Der Zauberberg""",The Magic Mountain
LITERACY,"In a Hemingway tale, Harry gets gangrene; before he dies, has a vision of flying in a plane toward this mountain",Kilimanjaro
LITERACY,"In his ""Five Weeks in a Balloon"", the title conveyance anchors itself to Mount Longwek, the trembling mountain",(Jules) Verne
HISTORY,"Now a piece of fabric covering a tear, in the 1700s it was a piece of fabric stuck on a lady's face as an adornment",a patch
HISTORY,"Yes, ""deer"", in the '50s Pat Boone was famous for wearing these pale oxfords",white bucks
HISTORY,Between about 1325 & 1500 this group expanded from an island or two to control southern Mexico,Aztecs
HISTORY,"A new one of these was created in 1917, but the part threatening property rights proved hard to enforce",Constitution
HISTORY,"The ""Cry of Dolores"", a speech by Father Hidalgo, sparked the rebellion against this nation",Spain
HISTORY,Who is that masked man?  It's this subcommander of Zapatista rebels:,Subcomandante Marcos
HISTORY,"Lasting until 1911, the 30-year dictatorship of this man is known as the Porfiriato",Porfirio Diaz
SCIENCE,He invented carbonated water as a byproduct of his investigations into the chemistry of air,Joseph Priestley
LITERACY,"She's the only female character in all the A.A. Milne ""Winnie The Pooh"" stories",Kanga
LITERACY,"This libidinous lord's Venetian exploits included an 1818 swim from the Lido ""right to the end of the Grand Canal""",Lord Byron
SCIENCE,"This Pole died in 1543, days after receiving the first copy of his book ""On the Revolutions of Heavenly Bodies""",Copernicus
LITERACY,"(<a href=""http://www.j-archive.com/media/2005-07-08_DJ_16.jpg"" target=""_blank"">Sarah of the Clue Crew reports from a Venetian canal.</a>) Much of this Shakespeare play is set here in the title city, including the trial where Shylock demands a pound of flesh",The Merchant of Venice
SCIENCE,"Although known as the founder of microbiology, this French chemist's first discoveries were in crystallography",Pasteur
LITERACY,"This ""Andrea del Sarto"" poet spent his final days at Ca' Rezzonico, the palatial home of his son Pen, & died there in 1889",Robert Browning
SCIENCE,"While serving as secretary of the Geological Society of London, 1839-41, he wrote the ""Journal of Researches""",Darwin
LITERACY,"""Yes, this was Venice... half fairy-tale, half snare"", wrote this author in ""Death in Venice""",Thomas Mann
SCIENCE,In 1938 Mussolini let him travel to Sweden to receive his Nobel Prize for Physics; he then defected to the U.S.,(Enrico) Fermi
LITERACY,"(<a href=""http://www.j-archive.com/media/2005-07-08_DJ_12.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from Caffe Florian in Venice, Italy.</a>)  I'm at Caffe Florian, a favorite spot of this U.S.-born author, who wrote about it in ""The Wings of the Dove"" and ""The Aspern Papers""",Henry James
SCIENCE,In the 1820s this British scientist discovered the laws of electrical induction forming the basis for the magneto & dynamo,Michael Faraday
HISTORY,In 1864 this man joined his father-in-law Eberhard Anheuser in the brewing business,Adolphus Busch
HISTORY,In 1789 this president announced that he would henceforth only drink porter beer made in America,George Washington
HISTORY,In 1612 Adrian Block & Hans Christiansen established the New World's first known brewery on this island,Manhattan
HISTORY,"Formed one year earlier, this ""Service"" began taxing beer at a dollar a barrel in 1862 to finance the Civil War",Internal Revenue Service (IRS)
HISTORY,Beverage World reports that in 1996 the U.S. exceeded this country in number of breweries for the first time,Germany
LITERACY,J.R.R. (7),Tolkien
LITERACY,Mark Twain's Becky (8),Thatcher
LITERACY,First name of a Fielding foundling (3),Tom (Jones)
LITERACY,Shakespeare's frisky fairy queen (7),Titania
LITERACY,"Melville's ""peep at Polynesian life"" (5)","""Typee"""
HISTORY,"Though historians debate it, she's called ""The Virgin Queen""",Elizabeth I
HISTORY,"Of Henry VIII's six wives, the number that lost their heads over him",2
HISTORY,"A 1906 disaster in this city destroyed about 28,000 buildings & killed hundreds, maybe thousands",San Francisco
HISTORY,In 1878 an amendment for this was introduced in Congress; its adoption didn't occur until 1920,Women's suffrage
HISTORY,"His funeral on April 21, 1790 drew 20,000 mourners in Philadelphia, the largest U.S. public gathering to that time",Benjamin Franklin
HISTORY,In 1913 Pancho Villa used this Texas city on the Rio Grande as his headquarters,El Paso
HISTORY,The Webster-Ashburton Treaty set parts of the St. Francis & St. John rivers as the border for this state & Canada,Maine
HISTORY,In 1816 timid Dr. Rene Laennec's reluctance to listen to patients' hearts the usual way caused him to invent this,the stethoscope
HISTORY,"In late 1943, a U.S. warship carrying this man to a summit in Tehran narrowly missed being destroyed by friendly fire",Franklin Roosevelt
HISTORY,In 1907 only the repurposing of the Eiffel Tower as one of these spared it from being torn down,a radio antenna
HISTORY,"This 1925 event was staged in Dayton, Tenn. to give the city publicity, with the defendant & the law in on it",the Scopes trial
HISTORY,In 1945 a U.S. unit saved the life of this Vietnamese guerrilla leader then helping the Allied cause,Ho Chi Minh
LITERACY,"""Sartoris"" published in 1929 was his first novel to deal with Yoknapatawpha County",Faulkner
LITERACY,"In England his 1950 science fiction novel ""The Martian Chronicles"" was titled ""The Silver Locusts""",Bradbury
LITERACY,"1926's top 2 fiction sellers were John Epskine's ""The Private Life of Helen of Troy"" & this Anita Loos book",Gentlemen Prefer Blondes
LITERACY,"This 1925 novel contains the line ""They were careless people, Tom and Daisy""",The Great Gatsby
LITERACY,"This 140-pound character in ""The Call of the Wild"" is a cross between a St. Bernard & a Scotch Shepard",Buck
HISTORY,"Of the 15 expulsions of senators in the Senate's 215-year history, 11 took place in this year",1861
LITERACY,"He was born in Dublin, the son of noted Irish painter John Butler Yeats",William Butler Yeats
LITERACY,"These brothers known for their 1857 collection of ""fairy tales"" shared the middle name Karl",Grimm brothers
LITERACY,"This ""Fahrenheit 451"" author's ancestors include a woman who was tried for witchcraft in Salem, Mass.",Ray Bradbury
LITERACY,"When Elinor Wylie married William Rose Benet, she became the sister-in-law of this poet & novelist",Stephen Vincent Benet
LITERACY,"This author of ""The Virginian"" was the grandson of famed 19th century British actress Fanny Kemble",Owen Wister
SCIENCE,Psychologists refer to this sense as olfaction,smell
SCIENCE,The length of this on Jupiter is less than 10 hours,the day
SCIENCE,Palynology seeks knowledge about past plant distribution by studying grains of this,pollen
SCIENCE,"Consisting of 3 atoms, water is an example of a triatomic one of these units",a molecule
SCIENCE,"American Arthur Compton's work proved the existence of these ""particles"" of light",photons
LITERACY,The storming of the Bastille & death carts filled with human cargo are features of this Dickens novel,A Tale of Two Cities
LITERACY,"""Helm's Deep"" & ""The Taming of Smeagol"" are chapters in this ""Two""-titled book",The Two Towers
LITERACY,"This Belgian detective doesn't buy suicide as the cause of a dentist's death in ""One, Two, Buckle My Shoe""",(Hercule) Poirot
LITERACY,"Proteus loves Julia, but another woman catches his eye in this Shakespeare play",The Two Gentlemen of Verona
LITERACY,"Dominick Dunne wrote about a pair of women in a navy ensign's life in ""The Two Mrs."" these",Grenvilles
LITERACY,Bedford Industries & Hanscom Inc. are 2 manufacturers of these plastic bag closers,twist ties
LITERACY,You blow into this device to tune a musical instrument,a pitch pipe
LITERACY,This term's original meaning was cash that a woman carries on a date in case she has to ditch her escort,mad money
LITERACY,"If your hair color is Nice 'N Easy shade No. 87, you might be called this",a bottle blonde (or a bleached blonde)
LITERACY,A record of every species seen & identified by a person in his or her birdwatching career,a life list
HISTORY,Oceanus Hopkins was born at sea in 1620 aboard this pilgrim ship,Mayflower
HISTORY,The nuclear submarine Nautilus was in this ocean when it sailed under the North Pole,Arctic Ocean
HISTORY,"On May 5, 1961 the Freedom 7 capsule splashed down in the Atlantic with this man inside",Alan Shepard
HISTORY,"On January 23, 1968 this country seized the U.S.S. Pueblo & detained its crew for espionage",North Korea
HISTORY,In June 1942 U.S. dive bombers sank 3 Japanese aircraft carriers at this central Pacific battle,Midway
SCIENCE,"In 1803 Luke Howard coined names for types of them, including cumulus & stratus",Clouds
SCIENCE,Atoms of this lightest element make up about 90% of the universe,Hydrogen
SCIENCE,"This element, symbol Ir, is one of the most corrosion-resistant metals known",Iridium
SCIENCE,It's the branch of physics that deals with light & vision,Optics
SCIENCE,"From the Latin for ""whip"", they're the whiplike parts by which certain protozoa move about",Flagellum
LITERACY,"An image from this type of dramatic performance is shown <a href=""http://www.j-archive.com/media/2004-12-09_DJ_16.jpg"" target=""_blank"">here</a>",a Passion play
LITERACY,"It's a type of gentle liquid cleanser, or of flattery",soft soap
LITERACY,"A bottle of this vodka brand is seen <a href=""http://www.j-archive.com/media/2004-12-09_DJ_18.jpg"" target=""_blank"">here</a>",Grey Goose
LITERACY,These low-risk mutual funds pay out at about the rate of treasury bills,money markets
LITERACY,You won't find any locals in Taqueria Rigoberto; it's strictly one of these,a tourist trap
LITERACY,"Dumas: ""'I may not be a _________ yet, but at least I've been privileged to fight in your ranks'""",a Musketeer
LITERACY,"Malory: ""And right as Arthur did at Christmas, he did at Candlemas, and pulled out the _____ easily""",the sword
LITERACY,"Du Maurier: ""Last night I dreamed I went to _________ again.""",Manderlay
LITERACY,"Burroughs: ""'Well! Tarzan...does not this...book clear up...your parentage? Why, man, you are Lord _________'""",Greystoke
LITERACY,"Hemans: ""The boy stood on the burning ____, whence all but he had fled""",deck
LITERACY,"This captain offers gold to whomever ""raises me a white-headed whale with a wrinkled brow""",Captain Ahab
LITERACY,"""I meant what I said and I said what I meant...an elephant's faithful"" this much",100 percent
LITERACY,"""Heaven has no rage like love to hatred turned, nor hell a fury like"" this",A woman scorned
LITERACY,"This 1943 Ayn Rand novel opens with the line ""Howard Roark laughed""","""The Fountainhead"""
HISTORY,Martin Behaim made the world's first known globe in this year when some say the world was proved round,1492
HISTORY,An 1888 treaty said this canal was neutral & would remain open even during a war,Suez Canal
HISTORY,"The day America declared its independence, this person was on the throne of Russia",Catherine the Great
HISTORY,Sostratus of Cnidus built this city's famous lighthouse in the early 3rd century B.C.,Alexandria
HISTORY,This monk who died in 735 got the info for his history of England through correspondence,Venerable Bede
LITERACY,"This work says, ""Better to reign in Hell, than serve in Heaven""",Paradise Lost
SCIENCE,"Ludwig Prandtl, an expert in wind tunnel & wing design, is called ""The Father of"" this aviation-related field",aerodynamics
HISTORY,"A 1924 law gave citizenship to all these members of what were called ""domestic dependent nations""",Native Americans
HISTORY,"Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country",Eritrea (formerly part of Ethiopia)
SCIENCE,These cells from human embryos can grow into any type of tissue & may someday cure diabetes & Alzheimer's,stem cells
SCIENCE,"Jupiter, Saturn & Uranus are called this type of planet, after a Roman god",Jovian
SCIENCE,"A material called URhGe can be manipulated into being this, lacking electrical resistance",superconductors
SCIENCE,"With a category 5 hurricane, you can expect one of these alliterative consequences 18 feet above normal tide",storm surge
SCIENCE,"We're not faking--alphabetically, it's last among the elements on the Periodic Table",zirconium
LITERACY,"""The Treasure of the Sierra Madre"" (1927)",Mexico
LITERACY,"""Steppenwolf"" (1929)",Germany
LITERACY,"""Walkabout"" (1959)",Australia
LITERACY,"""The Jewel in the Crown"" (1966)",India
LITERACY,"""The Stranger"" (1942)",Algeria
LITERACY,"The name of this character from an 18th century French work is from the Greek for ""all tongues""",Dr. Pangloss
LITERACY,"This 1952 classic contains the line ""No one was with her when she died""",Charlotte's Web
HISTORY,Kuan Han-Ch'ing was a leading playwright of this country's Yuan dynasty,China
HISTORY,"Laurence Olivier played the Button-Moulder in a 1944 revival of this playwright's ""Peer Gynt""",Henrik Ibsen
HISTORY,"This ""Antigone"" author starred in his own play ""Nausikaa"" but later gave up acting",Sophocles
HISTORY,In the 1500s the Gelosi troupe became famous for performing this Italian form of improvised comedy,Commedia dell'arte
HISTORY,"He wrote his 1st play, ""The Beloved Bandit"" , by himself, before he teamed up with George S. Kaufman",Moss Hart
HISTORY,"This concept dates to a 1783 paper by John Michell, who theorized about a body with the sun's density & 500 times its diameter",a black hole
SCIENCE,A sound's repetition by reflection,an echo
SCIENCE,"He originated ""The Origin of Species""",Charles Darwin
SCIENCE,"Singular form of the word ""bacteria""",bacterium
SCIENCE,Negative particle that orbits an atom's nucleus,an electron
SCIENCE,Cytology is the study of these biological building blocks,cells
LITERACY,One adventure of these 2 Twain boys:  attempting to cure warts with a dead cat out in the cemetery at midnight,Huck Finn & Tom Sawyer
LITERACY,"The epilogue of this novel says, ""I have now told the singular, but veracious story of the opera ghost""",Phantom of the Opera
LITERACY,"Actually the third book in the series, this kids' classic recounts the Ingalls family's move to Kansas",Little House on the Prairie
LITERACY,"This thriller by Richard P. Hendrick is about a mutiny aboard the USS Alabama, a nuclear submarine",Crimson Tide
LITERACY,"Almost 60, John Steinbeck set out in search of America with his dog & chronicled the adventure in this book",Travels with Charlie
HISTORY,In 1787-88 the Anti-Federalists opposed the ratification of this document,the Constitution
HISTORY,"After a defeat in 1835 for reelection to Congress from Tennessee, this frontiersman moved to Texas",Davy Crockett
HISTORY,A Ute legend says the Great Spirit created all life on this peak discovered in 1806,Pikes Peak
HISTORY,Nickname given in the 1930s to the area seen here in a famous Arthur Rothstein photo,"""Dust Bowl"""
HISTORY,"When he began his Progressive Party, Teddy Roosevelt said he felt as fit as one of these animals",Bull moose
SCIENCE,Proxima Centauri is the second-closest star to the Earth; this is the closest,The sun
SCIENCE,"The constellation Taurus, not Cancer, contains this famous nebula",Crab Nebula
SCIENCE,Arteries branch off into arterioles & these join to form veins,Venuoles
SCIENCE,"Often quite expensive, it's considered the strongest natural fiber",Silk
SCIENCE,This gray metal is used in spark plugs & x-ray tubes as well as filaments,Tungsten
LITERACY,"""The Honor and Glory of Whaling"" is a chapter in this American masterpiece",Moby-Dick
LITERACY,"He's the teenage narrator of ""The Catcher in the Rye""",Holden Caulfield
LITERACY,"(<a href=""http://www.j-archive.com/media/2006-04-07_J_15.jpg"" target=""_blank"">Sarah of the Clue Crew delivers the clue from Kremlin in Moscow, Russia.</a>)  Novel in which Moscow was without its inhabitants & the soldiers were sucked into her, radiating from the Kremlin",War and Peace
LITERACY,"1815's ""Emma"" was the last of her novels published in her lifetime",(Jane) Austen
LITERACY,Some early reviewers objected to the realistic depiction of Archdeacon Frollo's death in this classic,The Hunchback of Notre Dame
HISTORY,In April 1861 the Times began Sunday issues for all the crucial up-to-date news on this,the Civil War
HISTORY,"Of 6, 12, or 18 pounds, it's the record for a Sunday Times paper, spread over 1,612 pages in 1987",12
HISTORY,"Blogs found at nytimes.com include one by this TV personality & talk show host seen <a href=""http://www.j-archive.com/media/2008-07-15_J_08.jpg"" target=""_blank"">here</a>",(Dick) Cavett
HISTORY,"Among its dozens of Pulitzer prizes is one for coverage of this 1986 tragedy, citing ""serious design flaws""",the Challenger (explosion)
HISTORY,"While he gave up his political column, he still shares his love of words in his ""On Language"" column",(William) Safire
HISTORY,Have you heard the latest buzz? The Mayans domesticated this native insect,the bee
HISTORY,"Thessaly, the land from which this Argonaut leader set out, also had a 4th century B.C. ruler of that name",Jason
HISTORY,"In 1950, 2 years into his long dictatorship, he invaded South Korea",Kim Il-sung
HISTORY,"(<a href=""http://www.j-archive.com/media/2008-06-09_J_09.jpg"" target=""_blank"">Sarah of the Clue Crew narrates from Lima, Peru.</a>)  The Plaza Mayor, Lima's main square since colonial days, was used for executions during the time of this tribunal that began in Peru around 1568",the Inquisition
HISTORY,"In 601 the Lombards destroyed this Italian city, home to a shrewish Kate, but it made a quick comeback",Padua
SCIENCE,"When light is passed thru a prism, it produces this spread of colors",Spectrum
SCIENCE,It's the branch of chemistry that deals with carbon compounds,Organic Chemistry
SCIENCE,All lines of longitude are measured east or west of this line,Prime Meridian
SCIENCE,The Big Dipper is part of this constellation,Ursa Major
SCIENCE,The most important source of uranium & radium is this mineral ore,Pitchblende
HISTORY,"Both Lord Protectors of Great Britain, Oliver & Richard had this last name",Cromwell
HISTORY,The Montreux Convention of 1936 recognized this country's right to fortify the Dardanelles,Turkey
HISTORY,"This liner was sunk by the submarine U-20 on May 7, 1915",Lusitania
HISTORY,Former slave Jean-Jacque Dessalines ruled this country as emperor Jacque I from 1804-1806,Haiti
HISTORY,England's Henry V won this battle in France on St. Christan's Day in 1415,Agincourt
SCIENCE,"Your body has millions of these glands, up to 625 per square inch of skin, & they're probably now working overtime",sweat glands
LITERACY,"Farmer Arable dabbed the napkin at his mouth.  Mmm!  That Wilbur...  ""Some pig"", indeed!",Charlotte's Web
SCIENCE,Total number of sides on a Klein bottle or a Mobius strip,one
LITERACY,"Jenny told me ""Love means never having to say you're sorry"".  But now she was gone, & that nurse was giving me the eye.",Love Story
SCIENCE,"If the solar system's 9 planets were lined up smallest to largest, Earth would be this number in line",fifth
LITERACY,"Enraged, Lemuel tore the ropes from his body.  His captors were ""not six inches high""!  His boot rose ominously.",Gulliver's Travels
SCIENCE,This prized natural substance is made up of alternating thin plates of calcium carbonate & chochiolin,mother of pearl
LITERACY,"Kitty & Levin's marriage is great, she thought.  My guy stinks.  With that, she pushed Hubby under the train.  Whoomp!",Anna Karenina
SCIENCE,What we call a Thermos goes back to the flask this scientist invented in the 1890s,Dewar
LITERACY,"""Hey, it's Dantes!  He must've escaped in Abbe Faria's burial shroud!"" shouted Villefort.  So they hanged him.  Fin.",The Count of Monte Cristo
HISTORY,In 1963 this former British P.M. became an honorary citizen of the U.S. by an act of Congress,Winston Churchill
SCIENCE,An astroblame is a scar on the Earth's surface caused by one of these,a meteor
HISTORY,"He was the first president of Gran Colombia; after all , he helped liberate it",Simón Bolívar
SCIENCE,"These warm, dry winds can raise the temperature at the base of the Rockies as much as 40º F. in 1 hour",the Chinooks
HISTORY,This French king was condemned in mid-January 1793 & was executed January 21,Louis XVI
SCIENCE,"From the Latin for ""body"", it's a free-moving cell such as an erythrocyte or leukocyte",a corpuscle
HISTORY,"On June 16, 1963 she blasted into orbit, joining Valery Bykovsky who had been launched 2 days earlier",(Valentina) Tereshkova
SCIENCE,"In the 2nd U.S. suborbital flight, his Mercury capsule, Liberty Bell 7, sank in the Atlantic upon splashdown",Gus Grissom
HISTORY,Alsace-Lorraine was annexed by Germany as a result of this 1870-71 war,the Franco-Prussian War
SCIENCE,2 isotopes of the same element differ in the number of these subatomic particles,neutrons
HISTORY,"(<a href=""http://www.j-archive.com/media/2009-11-18_DJ_10.jpg"" target=""_blank"">Jimmy of the Clue Crew shows a painting on the monitor.</a>)  To produce the optical effect he wanted, this artist painted a <a href=""http://www.j-archive.com/media/2009-11-18_DJ_10a.jpg"" target=""_blank"">border</a>, now partially obscured by the frame, using the complementary colors that are next to it in the painting.",(Georges) Seurat
HISTORY,"In ""Mr. and Mrs. Andrews"", a double portrait by this British painter, it's the young woman who wears blue",Gainsborough
HISTORY,"(<a href=""http://www.j-archive.com/media/2009-11-18_DJ_12.jpg"" target=""_blank"">Kelly of the Clue Crew shows a painting on the monitor.</a>)  Edward Hicks' ""Peaceable Kingdom"" depicts a verse by Isaiah that begins, <a href=""http://www.j-archive.com/media/2009-11-18_DJ_12a.jpg"" target=""_blank"">""The wolf shall dwell with the lamb""</a>; the meaning is amplified by the inclusion of <a href=""http://www.j-archive.com/media/2009-11-18_DJ_12b.jpg"" target=""_blank"">this</a> Quaker colony founder making a treaty with Native Americans",(William) Penn
HISTORY,"An allegorical masterpiece by Delacroix is called this symbolic lady ""Leading the People""",Liberty
HISTORY,"(<a href=""http://www.j-archive.com/media/2009-11-18_DJ_14.jpg"" target=""_blank"">Jimmy of the Clue Crew shows a painting on the monitor.</a>)  Undertaken as a guide to show a sculptor the best view, the triple portrait of this minister to France's Louis XIII gives us a glimpse of the <a href=""http://www.j-archive.com/media/2009-11-18_DJ_14a.jpg"" target=""_blank"">Order of the Holy Spirit</a> that he wore",(Cardinal) Richelieu
HISTORY,"Briefly, in 1945, Karl Doenitz succeeded this man as Fuhrer of Germany",Hitler
LITERACY,"""Slow and steady wins the race"" is the famous last line of this fable","""The Tortoise and the Hare"""
HISTORY,"Until a 1969 coup by Muammar al-Qaddafi, King Idris had ruled this country for 18 years",Libya
LITERACY,"Part of this Robert Louis Stevenson tale takes place in a sinister house called the ""Laboratory""",Strange Case of Dr Jekyll and Mr Hyde
HISTORY,In 1756 British soldiers were imprisoned by Indian troops in this 15' x 18' room,the Black Hole of Calcutta
LITERACY,"This Rex Stout character loves gardening & gourmet foods, as did Stout",Nero Wolfe
HISTORY,"In the Korean War, U.N. forces captured this North Korean capital Ocrober 19, 1950",Pyongyang
LITERACY,This title character in a Frances Hodgson Burnett novel is the grandson of an earl,Lord Fauntleroy
HISTORY,In 1066 he became the last Saxon king to rule England,Harold II
LITERACY,This Booth Tarkington novel tells the tale of a girl's attempts to raise her station in life,Alice Adams
HISTORY,"In August 1971 on the Moon's surface, an astronaut repeated a famous experiment & declared that this man ""was correct""",Galileo
LITERACY,In 1829 he leaves an islet in Marseille's harbor & finds treasure on an islet in Italy's Tuscan Archipelago,The Count of Monte Cristo (Edmond Dantes)
LITERACY,"In early drafts, the heroine of this novel was named Pansy & her family home was called Fontenoy Hall",Gone with the Wind
HISTORY,In 1849 Americans traveling to the California gold fields via boat popularized this hat,Panama Hat
LITERACY,"Britannica states that the name ""Agora"" was first found in the work of this ancient Greek poet",Homer
LITERACY,This 1953 book title tells us the temperature at which books burn,Fahrenheit 451
LITERACY,"In 1900 he wrote the line, ""The road to the City of Emeralds is paved with yellow brick""",L. Frank Baum
LITERACY,This 1952 Pulitzer-winning book grew out of Herman Wouk's experiences on a WWII destroyer-minesweeper,The Caine Mutiny
LITERACY,"Elizabeth Barrett Browning gave this volume of 44 sonnets to Robert in 1847, a year after they eloped",Sonnets from the Portuguese
HISTORY,"When Abel Tasman discovered this island in 1642, he called it Van Diemen's Land",Tasmania
HISTORY,The Chinese plan called the Great Leap Forward was initiated by this leader in 1958,Mao Tse-tung
HISTORY,"In 1986 this dictator fled Haiti, ending 28 years of rule by his family",Baby Doc Duvalier
HISTORY,In 405 B.C. Spartan commander Lysander won the final victory over the Athenians in this war,the Peloponnesian War
HISTORY,"In 1358 Lubeck, on the Baltic coast, became the headquarters of this league",the Hanseatic League
HISTORY,The titles Kaiser & Czar were both derived from this earlier title,Caesar
HISTORY,"Pants, as an item of apparel, is short for this word, from an Italian comic character",Pantalone
HISTORY,"Dating from the 16th century, goodbye is a contraction of these 4 words",god be with you
HISTORY,Copper was named for this island where it was abundant,Cyprus
HISTORY,"Coined by a 9-year-old circa 1940, it's a 1 followed by 100 zeros",a googol
LITERACY,"Eternal laugh riot ""La Divina Commedia""","""The Divine Comedy"""
LITERACY,"Magical realism masterpiece ""Cien Anos de Soledad""","""100 Years of Solitude"""
LITERACY,"Existential disappearing act ""L'Etre et le Neant""","""Being and Nothingness"""
LITERACY,"Not a Roman holiday for Thomas Mann, ""Der Tod in Venedig""","""Death in Venice"""
LITERACY,"Gogol's 1842 ""mortal""ity play ""Myortvye Dushi""","""Dead Souls"""
HISTORY,"In 1881 the owner of the Chicago White Stockings said these ""must come down"" to keep teams from bankruptcy",players' salaries
HISTORY,"(<a href=""http://www.j-archive.com/media/2002-06-07_DJ_05.jpg"" target=""_blank"">Hi, I'm New York Yankees fan Rudy Giuliani.</a>)  The 1920 purchase of this Boston ballplayer for about $125,000 forever changed the history of the New York Yankees",Babe Ruth
HISTORY,"Agricultural term for the system, created by Branch Rickey, of minor league teams controlled by a big league team",a farm system
HISTORY,Lee Smith is the all-time leader in this pitching category with 478,saves
HISTORY,"In 1912 this team held a 1-day strike when teammate Ty Cobb was suspended; their replacements lost, 24-2",the Detroit Tigers
SCIENCE,"It's estimated that of 6,000 in the world today, half will vanish in the next 100 years, including Jingulu & Chamicuro",Languages
HISTORY,"This volunteer cavalry unit organized by Teddy Roosevelt included miners, cowboys & college athletes",the Rough Riders
HISTORY,Around 122 A.D. this emperor ordered a wall built to separate the Romans from the Barbarians,Hadrian
HISTORY,The Yi dynasty ruled this country from 1392 until its annexation by Japan in 1910,Korea
HISTORY,The Peace of Westphalia in 1648 ended this numerical war,Thirty Years' War
HISTORY,"The Mau Mau Rebellion, which began in 1952, was an uprising against British rule in this African country",Kenya
HISTORY,In 1885 the Post Office began this service that sent mail more quickly for an extra fee,special delivery
HISTORY,"In 1913 the 16th Amendment was ratified, authorizing a tax on this",income
HISTORY,In 1790 Philadelphia replaced this city as the new capital of the U.S.,New York City
HISTORY,"During an 1832 expedition, Lake Itasca was discovered to be the source of this river",the Mississippi
HISTORY,2 of the 4 men upon whom the new rank of 5-star general was conferred in 1944,"(2 of) MacArthur, Eisenhower, Marshall, Hap Arnold"
LITERACY,"In the Grimm tale ""Jorinda and Joringel"", Jorinda is turned into one of these birds known for singing in the evening",a nightingale
LITERACY,"You know this Lewis Carroll classic by a shortened name; its full title includes the word ""Adventures""",Alice in Wonderland
LITERACY,"Part I of this 1995 Gregory Maguire novel that inspired a musical is called ""Munchkinlanders""",Wicked
LITERACY,"""A Separate Peace"" tells of 2 preppies at the Devon School in this ""Granite State""",New Hampshire
LITERACY,"""The Amber Spyglass"" is the third book in the trilogy called ""His Dark"" these",Materials
LITERACY,14-line poem that may be Petrarchan (6),a sonnet
LITERACY,Erle Gardner's middle name (7),Stanley
LITERACY,"What ""Requiem for a Nun"" is to ""Sanctuary"" (6)",a sequel
LITERACY,Title age for a Tarkington lad (9),seventeen
LITERACY,British biographer Lytton (8),Strachey
HISTORY,"He was first called ""The Father of His Country"" in a 1779 almanac published in Pennsylvania",George Washington
HISTORY,In 1867 the first railroad to cross this state was completed from the Mississippi to Council Bluffs,Iowa
HISTORY,"Founded in 1874, this political party advocated printing more money to help farmers",Greenback Party
HISTORY,"In March 1814 this general defeated the Creeks at Horseshoe Bend, in what is now Alabama",Andrew Jackson
HISTORY,"For leading a slave rebellion in August of 1831, he was tried, convicted & hanged that November",Nat Turner
HISTORY,In 2008 a group known as MEND launched a war that cut Nigeria's exports of this by 40%,oil
HISTORY,"(<a href=""http://www.j-archive.com/media/2010-02-12_DJ_03.jpg"" target=""_blank"">I'm author and journalist Helene Cooper.</a>) In 1847 a government based on that of the U.S. was established by free black men & former slaves in the West African nation they called this",Liberia
HISTORY,Work on a bridge over the Tsavo River was badly hampered in 1898 when 2 of these mammals ate 140 workers,lions
